DEBUG 2023-12-18 10:45:12,007 autoreload 14348 15772 File D:\perso\python\openclassrooms\projet en cours\Python-OC-Lettings-FR\Python-OC-Lettings-FR\venv\Lib\site-packages\django\utils\cache.py first seen with mtime 1702892666.816537
DEBUG 2023-12-18 10:45:12,007 autoreload 14348 15772 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.496.0_x64__qbz5n2kfra8p0\Lib\wsgiref\util.py first seen with mtime 1697388588.7868211
DEBUG 2023-12-18 10:45:12,007 autoreload 14348 15772 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.496.0_x64__qbz5n2kfra8p0\Lib\hmac.py first seen with mtime 1669201793.7937357
DEBUG 2023-12-18 10:45:12,007 autoreload 14348 15772 File D:\perso\python\openclassrooms\projet en cours\Python-OC-Lettings-FR\Python-OC-Lettings-FR\venv\Lib\site-packages\django\views\generic\detail.py first seen with mtime 1702892666.8486018
DEBUG 2023-12-18 10:45:12,007 autoreload 14348 15772 File D:\perso\python\openclassrooms\projet en cours\Python-OC-Lettings-FR\Python-OC-Lettings-FR\venv\Lib\site-packages\django\db\models\sql\query.py first seen with mtime 1702892666.723289
DEBUG 2023-12-18 10:45:12,007 autoreload 14348 15772 File D:\perso\python\openclassrooms\projet en cours\Python-OC-Lettings-FR\Python-OC-Lettings-FR\venv\Lib\site-packages\sentry_sdk\attachments.py first seen with mtime 1702892700.9715166
DEBUG 2023-12-18 10:45:12,007 autoreload 14348 15772 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.496.0_x64__qbz5n2kfra8p0\Lib\email\mime\text.py first seen with mtime 1698312077.3888252
DEBUG 2023-12-18 10:45:12,007 autoreload 14348 15772 File D:\perso\python\openclassrooms\projet en cours\Python-OC-Lettings-FR\Python-OC-Lettings-FR\venv\Lib\site-packages\django\core\exceptions.py first seen with mtime 1702892666.5984595
DEBUG 2023-12-18 10:45:12,008 autoreload 14348 15772 File D:\perso\python\openclassrooms\projet en cours\Python-OC-Lettings-FR\Python-OC-Lettings-FR\venv\Lib\site-packages\django\urls\exceptions.py first seen with mtime 1702892666.8120203
DEBUG 2023-12-18 10:45:12,008 autoreload 14348 15772 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.496.0_x64__qbz5n2kfra8p0\Lib\asyncio\format_helpers.py first seen with mtime 1669201793.4118116
